City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,angaur state,6.906,134.13,28.52,78,90,8.3,PW,1691820516
1,anadyr,64.75,177.4833,12.28,76,75,3.0,RU,1691820516
2,saipan,15.1355,145.701,28.39,100,20,5.81,MP,1691820516
3,vilyuchinsk,52.9306,158.4028,22.15,63,51,0.89,RU,1691820516
4,ingeniero jacobacci,-41.3427,-69.5448,0.08,58,88,2.57,AR,1691820517
5,port-aux-francais,-49.35,70.2167,2.32,66,45,15.71,TF,1691820517
6,port saint john's,-31.6229,29.5448,19.37,48,0,3.18,ZA,1691820517
7,celestun,20.8667,-90.4,28.4,76,17,4.98,MX,1691820517
8,iqaluit,63.7506,-68.5145,3.72,100,60,2.05,CA,1691820517
9,albany,42.6001,-73.9662,15.45,86,57,0.45,US,1691820517
10,rongelap,11.1635,166.8941,28.65,79,90,6.89,MH,1691820517
11,isafjordur,66.0755,-23.124,8.07,89,73,2.69,IS,1691820518
12,novoarkhanhel's'k,48.658,30.8182,20.21,59,56,4.62,UA,1691820518
13,iskateley,67.6803,53.1512,22.36,47,6,4.85,RU,1691820518
14,gulf shores,30.246,-87.7008,30.14,75,0,4.12,US,1691820518
15,adamstown,-25.066,-130.1015,18.39,60,11,8.72,PN,1691820475
16,lobujya,27.95,86.8167,6.65,92,99,2.24,NP,1691820518
17,sur,22.5667,59.5289,33.82,48,5,5.56,OM,1691820518
18,atafu village,-8.5421,-172.5159,28.19,65,1,4.22,TK,1691820519
19,bilibino,68.0546,166.4372,22.27,41,77,1.23,RU,1691820519
20,tura,25.5198,90.2201,27.77,88,98,3.08,IN,1691820384
21,mount isa,-20.7333,139.5,28.87,24,21,3.6,AU,1691820519
22,ribeira grande,38.5167,-28.7,22.1,92,88,2.24,PT,1691820519
23,nar'yan-mar,67.6713,53.087,22.42,47,6,4.86,RU,1691820519
24,ranot,7.7777,100.3213,32.54,58,9,5.98,TH,1691820519
25,weno,7.4515,151.8468,28.97,79,100,6.17,FM,1691820520
26,cabo san lucas,22.8909,-109.9124,30.34,79,3,2.55,MX,1691819932
27,badger,64.8,-147.5333,15.95,89,75,2.06,US,1691820520
28,yermentau,51.6214,73.1069,11.74,87,100,6.97,KZ,1691820520
29,grytviken,-54.2811,-36.5092,2.09,98,100,4.15,GS,1691820520
30,santa isabel,-23.3156,-46.2214,18.87,77,3,0.93,BR,1691820480
31,tual,-5.6667,132.75,25.48,83,62,7.93,ID,1691820520
32,colonia,50.9333,6.95,20.59,90,20,3.09,DE,1691820463
33,vorgashor,67.5833,63.95,15.95,39,2,1.59,RU,1691820521
34,karratha,-20.7377,116.8463,26.88,35,0,5.23,AU,1691820521
35,kingston,17.997,-76.7936,29.53,74,20,7.72,JM,1691820329
36,port shepstone,-30.7414,30.455,17.26,68,0,3.94,ZA,1691820521
37,margaret river,-33.95,115.0667,15.44,54,96,1.67,AU,1691820521
38,puerto natales,-51.7236,-72.4875,-1.59,88,54,1.62,CL,1691820521
39,santa fe do sul,-20.2111,-50.9258,23.84,37,84,2.38,BR,1691820521
40,grootfontein,-19.5667,18.1167,14.53,36,6,2.71,NA,1691820522
41,port elizabeth,-33.918,25.5701,15.16,55,0,2.06,ZA,1691820522
42,wakema,16.6,95.1833,30.74,64,99,6.25,MM,1691820522
43,oasis,33.4659,-116.0989,32.27,43,39,5.41,US,1691820522
44,andkhoy,36.9529,65.1238,35.11,16,0,6.71,AF,1691820522
45,samana,19.2056,-69.3369,26.83,89,14,3.59,DO,1691820522
46,tiksi,71.6872,128.8694,5.66,78,90,6.76,RU,1691820522
47,waitangi,-43.9535,-176.5597,10.46,92,75,0.89,NZ,1691820523
48,qaqortoq,60.7167,-46.0333,5.67,85,20,1.43,GL,1691820523
49,hithadhoo,-0.6,73.0833,27.9,72,99,4.97,MV,1691820523
50,edinburgh of the seven seas,-37.0676,-12.3116,8.53,61,97,11.39,SH,1691820523
51,papatowai,-46.5619,169.4708,7.97,92,100,1.7,NZ,1691820523
52,shenjiamen,29.9576,122.298,28.61,81,11,7.73,CN,1691820523
53,tsengel,49.4783,100.8894,24.3,52,72,2.37,MN,1691820523
54,nabire,-3.3667,135.4833,29.56,67,97,2.73,ID,1691820523
55,lesnikovo,55.2822,65.3175,19.08,31,70,7.53,RU,1691820524
56,udachny,66.4167,112.4,21.92,52,100,7.1,RU,1691820524
57,jamestown,42.097,-79.2353,19.84,81,0,3.09,US,1691820524
58,okahao,-17.885,15.0667,14.8,41,4,1.96,NA,1691820524
59,conduaga,8.862,117.4893,30.45,67,49,4.83,PH,1691820524
60,puerto ayora,-0.7393,-90.3518,24.19,93,92,1.79,EC,1691820524
61,porto velho,-8.7619,-63.9039,25.03,94,0,0.51,BR,1691820473
62,ushuaia,-54.8,-68.3,-2.37,92,76,1.97,AR,1691820524
63,soure,-0.7167,-48.5233,25.88,84,33,4.23,BR,1691820525
64,avarua,-21.2078,-159.775,25.03,88,100,1.03,CK,1691820525
65,port lincoln,-34.7333,135.8667,13.15,83,100,4.24,AU,1691820525
66,mamers,48.3333,0.25,18.96,95,100,2.64,FR,1691820525
67,ngaoundere,7.3167,13.5833,18.42,97,91,0.46,CM,1691820525
68,pangody,65.85,74.4859,12.02,31,0,10.17,RU,1691820525
69,toledo,39.8333,-4.0,23.76,31,0,1.89,ES,1691820242
70,olonkinbyen,70.9221,-8.7187,6.57,96,100,2.46,SJ,1691820526
71,uturoa,-16.7333,-151.4333,25.36,65,56,6.44,PF,1691820526
72,miyako,39.6367,141.9525,26.43,95,93,5.44,JP,1691820526
73,ust-nera,64.5667,143.2,25.86,26,4,2.31,RU,1691820526
74,hobyo,5.3505,48.5268,26.9,68,89,10.16,SO,1691820526
75,santa terezinha,-29.9002,-50.0904,16.32,98,100,2.01,BR,1691820526
76,cukai,4.25,103.4167,30.73,65,70,4.16,MY,1691820526
77,murakami,38.2333,139.4833,30.94,93,99,1.69,JP,1691820255
78,ujae,8.9322,165.7642,28.72,75,79,5.76,MH,1691820527
79,wailua homesteads,22.0669,-159.378,26.44,83,0,6.17,US,1691820527
80,st. john's,47.5649,-52.7093,18.15,97,100,4.63,CA,1691820527
81,thompson,55.7435,-97.8558,10.09,87,40,1.03,CA,1691820326
82,darwin,-12.4611,130.8418,31.05,29,73,4.47,AU,1691820380
83,caleta de carquin,-11.0925,-77.6267,18.62,85,58,3.93,PE,1691820527
84,chonchi,-42.6128,-73.8092,3.4,87,100,0.86,CL,1691820527
85,san sebastian de la gomera,28.0916,-17.1133,39.2,15,0,3.09,ES,1691820307
86,longboat key,27.4125,-82.659,30.56,78,0,2.57,US,1691820528
87,tsiombe,-25.3,45.4833,19.99,63,3,0.69,MG,1691820528
88,labytnangi,66.6572,66.4183,14.7,49,6,0.6,RU,1691820528
89,kapoeta,4.7717,33.5903,28.75,41,23,8.65,SS,1691820528
90,kailua-kona,19.6406,-155.9956,27.98,89,100,3.6,US,1691820528
91,kone,-21.0595,164.8658,20.37,53,0,3.22,NC,1691820528
92,marka,1.7159,44.7717,26.28,72,68,7.51,SO,1691820528
93,bengkulu,-3.8004,102.2655,28.9,67,69,5.66,ID,1691820529
94,khovd,48.0056,91.6419,26.39,21,99,2.13,MN,1691820529
95,pisco,-13.7,-76.2167,20.03,73,100,3.6,PE,1691820529
96,broome,42.2506,-75.833,16.46,86,41,0.89,US,1691820529
97,nogliki,51.8333,143.1667,16.97,80,99,4.93,RU,1691820529
98,college,64.8569,-147.8028,16.0,88,75,2.06,US,1691820529
99,bahia de kino,28.8333,-111.9333,30.51,70,0,5.09,MX,1691820529
100,san luis de la loma,17.2706,-100.8939,26.45,88,78,2.17,MX,1691820529
101,prince albert,53.2001,-105.7677,13.03,96,100,1.35,CA,1691820530
102,sabya,17.1495,42.6254,34.11,60,67,4.94,SA,1691820530
103,babolsar,36.7025,52.6576,31.15,49,0,2.87,IR,1691820530
104,dryden,49.7833,-92.7503,13.16,100,100,4.12,CA,1691820530
105,luderitz,-26.6481,15.1594,12.66,88,39,2.4,NA,1691820530
106,saynshand,44.8824,110.1163,28.04,25,0,2.33,MN,1691820530
107,bredasdorp,-34.5322,20.0403,12.4,92,23,2.63,ZA,1691820531
108,mhamid,29.82,-5.72,31.42,15,13,2.63,MA,1691820531
109,west island,-12.1568,96.8225,26.99,74,100,8.23,CC,1691820531
110,lihue,21.9789,-159.3672,26.77,77,0,6.17,US,1691820531
111,bethel,41.3712,-73.414,19.81,84,0,0.0,US,1691820531
112,alice springs,-23.7,133.8833,26.75,14,3,5.14,AU,1691820452
113,weiler-simmerberg,47.5833,9.9333,21.58,74,53,0.92,DE,1691820531
114,hawaiian paradise park,19.5933,-154.9731,24.73,87,40,2.57,US,1691820532
115,ulaangom,49.9811,92.0667,29.47,22,33,2.2,MN,1691820532
116,prado,-17.3411,-39.2208,21.32,83,8,2.46,BR,1691820453
117,talnakh,69.4865,88.3972,12.34,53,91,2.36,RU,1691820532
118,utrik,11.2278,169.8474,28.59,78,81,7.21,MH,1691820532
119,kodinsk,58.6881,99.1844,27.6,43,74,3.13,RU,1691820532
120,stanley,54.868,-1.6985,15.16,87,20,2.06,GB,1691820532
121,ghat,24.9647,10.1728,28.4,22,2,1.4,LY,1691820533
122,fort st. john,56.2499,-120.8529,12.6,68,28,2.89,CA,1691820533
123,zunyi,27.6867,106.9072,30.17,63,94,0.56,CN,1691820533
124,snyder,32.7179,-100.9176,32.19,29,0,3.6,US,1691820533
125,georgetown,5.4112,100.3354,30.96,70,40,2.06,MY,1691820461
126,enewetak,11.3474,162.3373,28.66,71,82,6.06,MH,1691820533
127,saldanha,-33.0117,17.9442,13.79,82,55,2.66,ZA,1691820533
128,susuman,62.7833,148.1667,22.53,34,19,5.27,RU,1691820533
129,invercargill,-46.4,168.35,9.45,89,100,0.89,NZ,1691820534
130,ca mau,9.1769,105.15,33.24,53,51,6.31,VN,1691820534
131,hamilton,39.1834,-84.5333,24.75,83,0,3.6,US,1691820274
132,tolanaro,-25.0319,46.9987,20.09,60,0,1.08,MG,1691820534
133,vila franca do campo,37.7167,-25.4333,22.23,88,9,2.65,PT,1691820534
134,punta arenas,-53.15,-70.9167,2.29,79,63,3.83,CL,1691820374
135,gurupi,-11.7292,-49.0686,23.95,33,42,3.3,BR,1691820534
136,fort-shevchenko,44.5086,50.263,33.18,30,0,5.53,KZ,1691820535
137,rio grande,-32.035,-52.0986,11.64,57,100,6.59,BR,1691820453
138,dudinka,69.4058,86.1778,12.57,52,5,14.22,RU,1691820535
